"ID","LabCode","C14Age","C14AgeError","MedianDate","Two-Sigma Range","Method","SiteName_jp","SiteName_en","Laitude","Longitude","Context","Prefecture","Region","PublicationYear","Reference","Notes","USED"
11,"Beta-161153",1610,50,"472 AD","266AD-272AD (0.008)|352AD-355AD (0.004)|362AD-571AD (0.943)","AMS","三和工業団地Ⅲ遺跡","Sanwakogyodanchi3iseki",36.35008889,139.22455,"11号住居跡,土器27","Gunma","Kanto",2004,"三和工業団地Ⅱ･Ⅲ・Ⅳ遺跡-自然科学分析編-","",TRUE
12,"Beta-162483",1010,40,"1032 AD","904AD-911AD (0.01)|977AD-1053AD (0.571)|1059AD-1157AD (0.374)","AMS","朝日山(2)遺跡","Asahiyama(2)iseki",40.76765317,140.7126579,"SI-744　床面","Aomori","Tohoku",2003,"青森県埋蔵文化財調査報告書第350集　朝日山(2)遺跡Ⅶ","",TRUE
13,"Beta-173934",1160,40,"882 AD","775AD-792AD (0.097)|796AD-978AD (0.845)|984AD-989AD (0.013)","AMS","朝日山(2)遺跡","Asahiyama(2)iseki",40.76765317,140.7126579,"SI-744　覆土","Aomori","Tohoku",2004,"青森県埋蔵文化財調査報告書第369集　朝日山(2)遺跡Ⅸ","",TRUE
14,"Beta-175421",1510,40,"567 AD","435AD-465AD (0.074)|475AD-501AD (0.076)|506AD-517AD (0.019)|529AD-643AD (0.789)","AMS","沼向遺跡","Numamukaiiseki",38.28105,141.00105,"第10次調査　SX10217 4b層","Miyagi","Tohoku",2010,"仙台市文化財調査報告書第360集　沼向遺跡第4〜34次調査　第9分冊","",TRUE
15,"Beta-175422",1530,40,"546 AD","430AD-605AD (0.941)|627AD-635AD (0.016)","AMS","沼向遺跡","Numamukaiiseki",38.28105,141.00105,"第10次調査　SX10217 4b層","Miyagi","Tohoku",2010,"仙台市文化財調査報告書第360集　沼向遺跡第4〜34次調査　第9分冊","",TRUE
16,"Beta-182501",2490,50,"625 BC","778BC-458BC (0.924)|440BC-419BC (0.032)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"20次,SK215土坑,2層,707","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
17,"Beta-185250",1880,40,"162 AD","32AD-37AD (0.005)|61AD-243AD (0.953)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"SI8A区","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
18,"Beta-185251",1820,40,"229 AD","124AD-260AD (0.697)|278AD-337AD (0.258)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"SI8B区","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
19,"Beta-185252",1910,40,"130 AD","24AD-225AD (0.954)|227AD-228AD (0.003)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"SI9A区","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
20,"Beta-185253",1790,40,"285 AD","132AD-141AD (0.01)|158AD-191AD (0.037)|201AD-379AD (0.91)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"SI9B区","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
21,"Beta-185254",1950,40,"75 AD","38BC-12BC (0.068)|3AD-203AD (0.893)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"SI10(新)A区","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
22,"Beta-185255",1900,40,"144 AD","28AD-46AD (0.035)|58AD-234AD (0.92)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"SI10(新)B区","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
23,"Beta-185256",1820,40,"229 AD","124AD-260AD (0.697)|278AD-337AD (0.258)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"SI11B区","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
24,"Beta-185257",1850,40,"188 AD","83AD-96AD (0.024)|113AD-254AD (0.869)|287AD-323AD (0.064)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"SI11D区","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
25,"Beta-187219",2320,40,"390 BC","514BC-497BC (0.016)|489BC-351BC (0.733)|294BC-208BC (0.207)","AMS","中里遺跡","Nakazatoiseki",35.28303889,139.1855889,"Ⅰ区,334土坑","Kanagawa","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
26,"Beta-188823",1490,40,"585 AD","440AD-450AD (0.014)|455AD-459AD (0.005)|478AD-495AD (0.027)|535AD-650AD (0.91)","AMS","沼向遺跡","Numamukaiiseki",38.28105,141.00105,"第10次調査　SX10217 4b層","Miyagi","Tohoku",2010,"仙台市文化財調査報告書第360集　沼向遺跡第4〜34次調査　第9分冊","",TRUE
27,"Beta-188824",1490,40,"585 AD","440AD-450AD (0.014)|455AD-459AD (0.005)|478AD-495AD (0.027)|535AD-650AD (0.91)","AMS","沼向遺跡","Numamukaiiseki",38.28105,141.00105,"第10次調査　SX10217 4b層","Miyagi","Tohoku",2010,"仙台市文化財調査報告書第360集　沼向遺跡第4〜34次調査　第9分冊","",TRUE
28,"Beta-195074",2220,40,"278 BC","387BC-194BC (0.929)|188BC-176BC (0.028)","AMS","大谷尻遺跡","Otanijiriiseki",34.0566,133.9768,"試料名:№1　SB1013　S.T-14.15　炭化米№2","Tokushima","Shikoku",2005,"徳島県埋蔵文化財センター調査報告書　第53集　四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告28　大谷尻遺跡","",TRUE
29,"Beta-195079",2040,40,"34 BC","164BC-67AD (0.955)","AMS","大谷尻遺跡","Otanijiriiseki",34.0566,133.9768,"試料名:№6　SX1006　P-13　炭化米","Tokushima","Shikoku",2005,"徳島県埋蔵文化財センター調査報告書　第53集　四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告28　大谷尻遺跡","",TRUE
30,"Beta-200251",1820,40,"229 AD","124AD-260AD (0.697)|278AD-337AD (0.258)","AMS","湯牟田遺跡","Yumutaiseki",32.169999,131.502222,"試料名:№8　SA10,№62,炭化米","Miyazaki","Kyushu",2007,"宮崎県埋蔵文化財センター発掘調査報告書　第152集　湯牟田遺跡(二次調査)　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書47","",TRUE
31,"Beta-201569",430,40,"1461 AD","1414AD-1521AD (0.832)|1578AD-1621AD (0.125)","AMS","本宮熊堂B遺跡","Motomiyakumadobiseki",39.68851111,141.1420694,"RA105","Iwate","Tohoku",2006,"岩手県文化振興事業団埋蔵文化財調査報告書第470集　本宮熊堂A遺跡第24次･本宮熊堂B遺跡第25次発掘調査報告書","",TRUE
32,"Beta-205808",1450,40,"613 AD","558AD-655AD (0.956)","AMS","大江遺跡群","Oeisekigun",32.80161111,130.722325,"試料名:№3　SB30-3A","Kumamoto","Kyushu",2006,"熊本県文化財調査報告　第231集　大江遺跡群Ⅱ　-国家公務員合同宿舎(学苑住宅)新築工事に伴う大江遺跡群の埋蔵文化財発掘調査報告-","",TRUE
33,"Beta-205809",1490,40,"585 AD","440AD-450AD (0.014)|455AD-459AD (0.005)|478AD-495AD (0.027)|535AD-650AD (0.91)","AMS","大江遺跡群","Oeisekigun",32.80161111,130.722325,"試料名:№4　SB30-3B","Kumamoto","Kyushu",2006,"熊本県文化財調査報告　第231集　大江遺跡群Ⅱ　-国家公務員合同宿舎(学苑住宅)新築工事に伴う大江遺跡群の埋蔵文化財発掘調査報告-","",TRUE
34,"Beta-208541",1780,40,"292 AD","205AD-404AD (0.955)","AMS","市納上第1遺跡","Ichinawakamidai1iseki",32.217777,131.496388,"試料名:№1　1号周溝状遺構,ｂ","Miyazaki","Kyushu",2006,"宮崎県埋蔵文化財センター発掘調査報告書　第121集　　市納上第1遺跡･市納上第4遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書26","",TRUE
35,"Beta-208542",1770,40,"298 AD","214AD-402AD (0.962)","AMS","市納上第1遺跡","Ichinawakamidai1iseki",32.217777,131.496388,"試料名:№2　1号周溝状遺構,ｃ","Miyazaki","Kyushu",2006,"宮崎県埋蔵文化財センター発掘調査報告書　第121集　　市納上第1遺跡･市納上第4遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書26","",TRUE
36,"Beta-211776",2190,40,"266 BC","382BC-149BC (0.933)|135BC-113BC (0.025)","AMS","平田遺跡E地点","Hirataisekiechiten",31.74141111,131.036,"試料名:№28　E地点,SA1住居跡","Miyazaki","Kyushu",2007,"宮崎県埋蔵文化財センター発掘調査報告書　第160集　平田遺跡　D地点･E地点　一般国道10号都城道路建設に伴う埋蔵文化財発掘調査報告書1","",TRUE
37,"Beta-215715",2100,40,"115 BC","345BC-318BC (0.047)|203BC-34BC (0.874)|15BC-6AD (0.034)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
38,"Beta-218283",1950,40,"75 AD","38BC-12BC (0.068)|3AD-203AD (0.893)","AMS","国光原遺跡","Kokkobaruiseki",32.172777,131.500555,"試料名:№1　A区,SA3-1","Miyazaki","Kyushu",2007,"宮崎県埋蔵文化財センター発掘調査報告書　第149集　国光原遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書44","",TRUE
39,"Beta-218286",2060,40,"69 BC","174BC-30AD (0.932)|41AD-60AD (0.023)","AMS","国光原遺跡","Kokkobaruiseki",32.172777,131.500555,"試料名:№4　A区,SL1-1","Miyazaki","Kyushu",2007,"宮崎県埋蔵文化財センター発掘調査報告書　第149集　国光原遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書44","",TRUE
40,"Beta-225348",1210,40,"820 AD","680AD-745AD (0.169)|760AD-766AD (0.009)|772AD-895AD (0.738)|924AD-951AD (0.038)","AMS","宮ノ東遺跡","Miyanohigashiiseki",32.08108889,131.4152694,"試料名:24","Miyazaki","Kyushu",2008,"宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60","",TRUE
41,"Beta-225386",710,40,"1289 AD","1229AD-1245AD (0.038)|1255AD-1320AD (0.698)|1358AD-1390AD (0.22)","AMS","姫御前遺跡","Himegozeiseki",37.04406111,137.8718611,"11B5地点　Ⅲ層","Niigata","Chubu",2008,"新潟県埋蔵文化財調査報告書第184集　北陸新幹線関係発掘調査報告書Ⅷ　姫御前遺跡Ⅰ","",TRUE
42,"Beta-239326",210,40,"1765 AD","1530AD-1537AD (0.006)|1636AD-1697AD (0.28)|1723AD-1813AD (0.466)|1836AD-1880AD (0.046)|1886AD-1886AD (0.001)|1910AD-1950AD (0.155)","AMS","T71遺跡","T71iseki",43.0193,141.3617111,"2DB13　2層, T71-4","Hokkaido","Hokkaido",2008,"札幌市文化財調査報告書87　T71遺跡　第2次調査","Outside window of analysis",FALSE
43,"Beta-331065",40,30,"1829 AD","1695AD-1725AD (0.285)|1811AD-1838AD (0.27)|1843AD-1861AD (0.044)|1867AD-1871AD (0.012)|1878AD-1916AD (0.345)","AMS","石郷(3)遺跡","Ishigo(3)Iseki",40.57213889,140.54985,"不明","Aomori","Tohoku",2014,"亀ヶ岡文化の低湿地遺跡　冷温帯地域の遺跡資源の保存活用促進プロジェクト調査成果報告書1","",TRUE
44,"Beta-340384",50,30,"1830 AD","1695AD-1725AD (0.278)|1811AD-1839AD (0.263)|1842AD-1863AD (0.058)|1865AD-1872AD (0.021)|1877AD-1916AD (0.336)","AMS","永吉天神段遺跡","Nagayoshitenjindaniseki",31.42563056,130.9788806,"試料名:№1 土坑7号","Kagoshima","Kyushu",2016,"公益財団法人鹿児島県文化振興財団埋蔵文化財調査センター発掘調査報告書(8)　東九州自動車道建設(志布志IC〜鹿屋串良JCT)に伴う埋蔵文化財発掘調査報告書　　永吉天神段遺跡(第1地点)","",TRUE
45,"Beta-430181",210,30,"1766 AD","1643AD-1688AD (0.294)|1729AD-1808AD (0.514)|1924AD-1950AD (0.147)","AMS","文京遺跡","Bunkyoiseki",33.84971944,132.7705111,"試料名:№1　BNK-60","Ehime","Shikoku",2017,"文京遺跡Ⅷ　-文京遺跡60次調査-　愛媛大学埋蔵文化財調査報告ⅩⅩⅩ","",TRUE
46,"GaK-6695",1530,120,"518 AD","249AD-297AD (0.038)|307AD-687AD (0.899)|699AD-701AD (0.001)|742AD-772AD (0.017)","Beta Counting","蛍沢遺跡","Hotaruzawaiseki",40.82296111,140.7473306,"55号住居跡","Aomori","Tohoku",1979,"青森市蛍沢遺跡発掘調査報告書","",TRUE
47,"IAA-11832",1090,30,"957 AD","891AD-995AD (0.875)|1003AD-1019AD (0.081)","AMS","杉の堂遺跡","Suginodoiseki",39.14408056,141.1391111,"竪穴状遺構SX02　床面直上","Iwate","Tohoku",2004,"岩手県文化振興事業団埋蔵文化財調査報告書第425集　杉の堂遺跡発掘調査報告書","",TRUE
48,"IAA-141615",884,23,"1178 AD","1049AD-1081AD (0.153)|1133AD-1138AD (0.007)|1151AD-1221AD (0.796)","AMS","細池寺道上遺跡","Hosoiketeramichiueiseki",37.79789907,139.1549796,"SD137　3層","Niigata","Chubu",2015,"細池寺道上遺跡Ⅳ　第43次調査","",TRUE
49,"IAA-141616",649,24,"1358 AD","1284AD-1324AD (0.434)|1354AD-1393AD (0.522)","AMS","細池寺道上遺跡","Hosoiketeramichiueiseki",37.79789907,139.1549796,"SE263　3層","Niigata","Chubu",2015,"細池寺道上遺跡Ⅳ　第43次調査","",TRUE
50,"IAAA-103552",1036,26,"1008 AD","901AD-916AD (0.026)|975AD-1038AD (0.93)","AMS","油伝(1)遺跡","Aburaden(1)Iseki",40.60315,140.4631194,"SN4　B2　1層","Aomori","Tohoku",2014,"油伝(1)遺跡発掘調査報告書","",TRUE
51,"IAAA-10378",290,30,"1565 AD","1497AD-1600AD (0.642)|1615AD-1661AD (0.307)|1788AD-1792AD (0.008)","AMS","オサツ2遺跡","Osatsu2iseki",42.874,141.6311611,"（Ⅲ層（Ta-aより下位））1号平地式住居跡床面, OS2-1","Hokkaido","Hokkaido",2002,"千歳市文化財調査報告書ⅩⅩⅦ　ユカンボシC２遺跡・オサツ２遺跡における考古学的調査","Outside window of analysis",FALSE
52,"IAAA-10597",340,20,"1567 AD","1479AD-1528AD (0.324)|1539AD-1635AD (0.632)","AMS","新府城跡","Shinpujoato",35.735833,138.425278,"ポイント1炭範囲②","Yamanashi","Chubu",2002,"史跡新府城跡","",TRUE
53,"IAAA-10652",960,30,"1099 AD","1026AD-1158AD (0.957)","AMS","和野Ⅰ遺跡","Wano1iseki",39.93111944,141.9137694,"第5号焼土･炭化物集中区","Iwate","Tohoku",2004,"岩手県文化振興事業団埋蔵文化財調査報告書第452集　和野Ⅰ遺跡発掘調査報告書　(第1分冊　本文･図版･表編)","",TRUE
54,"IAAA-112037",1167,25,"867 AD","775AD-790AD (0.137)|800AD-812AD (0.027)|818AD-899AD (0.559)|917AD-973AD (0.232)","AMS","家ノ浦Ⅱ遺跡","Ienora2iseki",39.29598889,139.9746694,"南側斜面3","Akita","Tohoku",2013,"秋田県文化財調査報告書第485集　家ノ浦Ⅱ遺跡","",TRUE
55,"IAAA-112206",389,25,"1486 AD","1445AD-1521AD (0.707)|1576AD-1622AD (0.248)","AMS","福山城下町遺跡","Fukuyamajokamachiiseki",41.42801111,140.1111611,"Ⅲ層　炉4　灰1, 4","Hokkaido","Hokkaido",2012,"（財）北海道埋蔵文化財センター調査報告書第290集　松前町　福山城下町遺跡　－町道旭豊岡線代行事業改良工事に関わる埋蔵文化財発掘調査報告書－","Outside window of analysis",FALSE
56,"IAAA-112207",328,23,"1564 AD","1489AD-1639AD (0.96)","AMS","福山城下町遺跡","Fukuyamajokamachiiseki",41.42801111,140.1111611,"Ⅲ層　炉5　灰1, 5","Hokkaido","Hokkaido",2012,"（財）北海道埋蔵文化財センター調査報告書第290集　松前町　福山城下町遺跡　－町道旭豊岡線代行事業改良工事に関わる埋蔵文化財発掘調査報告書－","Outside window of analysis",FALSE
57,"IAAA-112209",339,24,"1564 AD","1477AD-1531AD (0.328)|1537AD-1636AD (0.629)","AMS","福山城下町遺跡","Fukuyamajokamachiiseki",41.42801111,140.1111611,"Ⅲ層　炉7, 7","Hokkaido","Hokkaido",2012,"（財）北海道埋蔵文化財センター調査報告書第290集　松前町　福山城下町遺跡　－町道旭豊岡線代行事業改良工事に関わる埋蔵文化財発掘調査報告書－","Outside window of analysis",FALSE
58,"IAAA-112210",340,24,"1564 AD","1477AD-1531AD (0.332)|1537AD-1636AD (0.625)","AMS","福山城下町遺跡","Fukuyamajokamachiiseki",41.42801111,140.1111611,"Ⅲ層　灰集中1, 8","Hokkaido","Hokkaido",2012,"（財）北海道埋蔵文化財センター調査報告書第290集　松前町　福山城下町遺跡　－町道旭豊岡線代行事業改良工事に関わる埋蔵文化財発掘調査報告書－","Outside window of analysis",FALSE
59,"IAAA-112450",1294,24,"725 AD","665AD-708AD (0.42)|712AD-773AD (0.544)","AMS","道村B遺跡","Domurabiseki",36.5077,136.5499694,"Ⅰ東　2SI04　炭化物層","Ishikawa","Chubu",2015,"白山市道村B遺跡","",TRUE
60,"IAAA-112452",1232,23,"801 AD","687AD-697AD (0.026)|702AD-741AD (0.245)|773AD-775AD (0.022)|782AD-881AD (0.662)","AMS","道村B遺跡","Domurabiseki",36.5077,136.5499694,"Ⅰ東　2SK28炭化物","Ishikawa","Chubu",2015,"白山市道村B遺跡","",TRUE
61,"IAAA-112453",1245,25,"749 AD","678AD-748AD (0.491)|759AD-767AD (0.029)|772AD-775AD (0.025)|786AD-837AD (0.315)|842AD-877AD (0.096)","AMS","道村B遺跡","Domurabiseki",36.5077,136.5499694,"Ⅰ東　2SK29炭化物","Ishikawa","Chubu",2015,"白山市道村B遺跡","",TRUE
62,"IAAA-112454",1274,22,"724 AD","668AD-774AD (0.945)|792AD-797AD (0.011)","AMS","道村B遺跡","Domurabiseki",36.5077,136.5499694,"Ⅰ東　3SI11　炭化物","Ishikawa","Chubu",2015,"白山市道村B遺跡","",TRUE
63,"IAAA-112456",1334,26,"679 AD","651AD-703AD (0.619)|740AD-772AD (0.337)","AMS","道村B遺跡","Domurabiseki",36.5077,136.5499694,"Ⅰ東　3下SI09-a","Ishikawa","Chubu",2015,"白山市道村B遺跡","",TRUE
64,"IAAA-11553",1130,30,"930 AD","776AD-785AD (0.033)|830AD-852AD (0.04)|875AD-992AD (0.883)","AMS","横山遺跡","Yokoyamaiseki",39.3858,140.0489194,"SD42 LL以東　覆土","Akita","Tohoku",2003,"秋田県文化財調査報告書第363集　横山遺跡","",TRUE
65,"IAAA-11578",1120,30,"935 AD","776AD-783AD (0.019)|834AD-844AD (0.012)|878AD-994AD (0.924)","AMS","横山遺跡","Yokoyamaiseki",39.3858,140.0489194,"SI45　覆土","Akita","Tohoku",2003,"秋田県文化財調査報告書第363集　横山遺跡","",TRUE
66,"IAAA-11821",400,30,"1479 AD","1438AD-1522AD (0.741)|1575AD-1624AD (0.216)|1627AD-1628AD (0.003)","AMS","田中城跡","Tanakajoato",33.08056111,130.59445,"SX-04　番号:1","Kumamoto","Kyushu",2002,"三加和町文化財調査報告書　第19集　田中城跡ⅩⅦ","",TRUE
67,"IAAA-11822",370,30,"1518 AD","1451AD-1526AD (0.523)|1552AD-1633AD (0.433)","AMS","田中城跡","Tanakajoato",33.08056111,130.59445,"SX-04　番号:2","Kumamoto","Kyushu",2002,"三加和町文化財調査報告書　第19集　田中城跡ⅩⅦ","",TRUE
68,"IAAA-120273",1238,22,"792 AD","684AD-742AD (0.379)|762AD-764AD (0.007)|773AD-775AD (0.023)|785AD-878AD (0.55)","AMS","長者山遺跡","Chojayamaiseki",36.67981111,140.7065389,"グリッドGⅣ　4号トレンチ　礎石建物跡SB02　堀込地業","Ibaraki","Kanto",2015,"長者山遺跡ー平成20〜24年度発掘調査成果報告書ー","",TRUE
69,"IAAA-120274",1240,24,"788 AD","682AD-743AD (0.409)|761AD-765AD (0.014)|772AD-775AD (0.025)|785AD-878AD (0.507)","AMS","長者山遺跡","Chojayamaiseki",36.67981111,140.7065389,"グリッドGⅦ　5号トレンチ　掘立柱建物跡SB06　P1埋土","Ibaraki","Kanto",2015,"長者山遺跡ー平成20〜24年度発掘調査成果報告書ー","",TRUE
70,"IAAA-120774",93,24,"1835 AD","1692AD-1727AD (0.262)|1810AD-1919AD (0.695)","AMS","田原迫ノ上遺跡","Taharasakonoeiseki",31.45233056,130.9192389,"試料名:№5
6号住居跡　床面","Kagoshima","Kyushu",2016,"公益財団法人鹿児島県文化振興財団埋蔵文化財調査センター発掘調査報告書(5)　東九州自動車道建設(志布志IC〜鹿屋串良JCT間)に伴う埋蔵文化財発掘調査報告書　田原迫ノ上遺跡1(第2分冊)","",TRUE
71,"IAAA-122028",1265,24,"726 AD","671AD-774AD (0.859)|790AD-822AD (0.097)","AMS","石田Ⅰ･Ⅱ遺跡","Ishida1・2iseki",39.11506111,141.0663806,"24号竪穴建物跡　張出部焼土内","Iwate","Tohoku",2015,"岩手県文化振興事業団埋蔵文化財調査報告書第632集　石田Ⅰ･Ⅱ遺跡発掘調査報告書　第一分冊(本文･遺構図版･総括)","",TRUE
72,"IAAA-122029",1293,25,"724 AD","665AD-708AD (0.415)|712AD-773AD (0.543)","AMS","石田Ⅰ･Ⅱ遺跡","Ishida1・2iseki",39.11506111,141.0663806,"24号竪穴建物跡　張出部焼土内","Iwate","Tohoku",2015,"岩手県文化振興事業団埋蔵文化財調査報告書第632集　石田Ⅰ･Ⅱ遺跡発掘調査報告書　第一分冊(本文･遺構図版･総括)","",TRUE
73,"IAAA-122482",2029,21,"16 BC","93BC-75BC (0.044)|54BC-29AD (0.876)|43AD-59AD (0.035)","AMS","バーガ森北斜面遺跡","Ba―Gamorikitashameniseki",33.55756528,133.4283056,"試料番号:1   Ⅱ区SK1","Kochi","Shikoku",2015,"高知県埋蔵文化財センター発掘調査報告書　第144集　バーガ森北斜面遺跡　高知西バイパス建設工事に伴う発掘調査報告書Ⅲ","",TRUE
74,"IAAA-123211",1180,23,"847 AD","775AD-894AD (0.897)|927AD-947AD (0.061)","AMS","扇田道下遺跡","Ogitamichishitaiseki",40.26473056,140.5716889,"SI54　床面","Akita","Tohoku",2013,"大館市文化財調査報告書第8集　扇田道下遺跡発掘調査報告書","",TRUE
75,"IAAA-131729",424,20,"1454 AD","1435AD-1487AD (0.962)","AMS","宝田遺跡","Takaradaiseki",37.3791,138.5893111,"Ⅶ層　32K22","Niigata","Chubu",2015,"新潟県埋蔵文化財調査報告書第252集　一般国道8号柏崎バイパス関係発掘調査報告書Ⅷ　宝田遺跡","",TRUE
