ID,Paddy,Rice,UseForAnalyses,Justification,LabCode,C14Age,C14Error,Method,Delta13C,Delta13C_IRMS,MaterialClass,MaterialDetails,MaterialDetails_En,Context,SiteName,SiteName_En,SiteAddress,Latitude,Longitude,Prefecture,Region,Source,PublicationYear,Reference,Note,Problem
11,FALSE,TRUE,TRUE,,Beta-145779,1860,40,AMS,NA,-23.8,Charred Seed,炭化物(炭化米),carbonized material rice (Oryza sativa),32B地点　SI008,真田･北金目遺跡群,Sanada・Kitakanabeisekigun,平塚市北金目,35.36831944,139.2834806,Kanagawa,Kanto,Rekihaku 14C Database,2003,平塚市真田･北金目遺跡群発掘調査報告書3　第4分冊,,
12,TRUE,FALSE,,,Beta-149638,670,40,AMS,NA,-26.3,Other Charred Remains,炭化物,carbonized material,A3地区　水田跡 6b層,宮田館遺跡,Miyatadateiseki,青森市大字宮田字玉水,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2002,青森県埋蔵文化財調査報告書第322集　宮田館遺跡発掘調査報告書,,
13,FALSE,TRUE,TRUE,,Beta-159752,2140,40,AMS,-25.4,-25.4,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),NA,青谷上寺地遺跡,Aoyakamijichiiseki,気高郡青谷町,35.51398889,134.0126194,Tottori,Chugoku,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
14,FALSE,TRUE,TRUE,,Beta-159754,2150,40,AMS,-26,-26,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),NA,青谷上寺地遺跡,Aoyakamijichiiseki,気高郡青谷町,35.51398889,134.0126194,Tottori,Chugoku,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
15,FALSE,TRUE,TRUE,,Beta-159755,2110,40,AMS,-26.5,-26.5,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),NA,青谷上寺地遺跡,Aoyakamijichiiseki,気高郡青谷町,35.51398889,134.0126194,Tottori,Chugoku,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
16,FALSE,TRUE,TRUE,,Beta-161153,1610,50,AMS,NA,-25,Charred Seed,炭化米,carbonized rice (Oryza sativa),"11号住居跡,土器27",三和工業団地Ⅲ遺跡,Sanwakogyodanchi3iseki,伊勢崎市三和町,36.35008889,139.22455,Gunma,Kanto,Rekihaku 14C Database,2004,三和工業団地Ⅱ･Ⅲ・Ⅳ遺跡-自然科学分析編-,,
17,FALSE,TRUE,TRUE,,Beta-162483,1010,40,AMS,NA,-25.7,Charred Seed,炭化種子(米),carbonized seed rice (Oryza sativa),SI-744　床面,朝日山(2)遺跡,Asahiyama(2)Iseki,青森市大字高田字朝日山,40.76765317,140.7126579,Aomori,Tohoku,Rekihaku 14C Database,2003,青森県埋蔵文化財調査報告書第350集　朝日山(2)遺跡Ⅶ,,
18,TRUE,FALSE,,,Beta-162491,260,40,AMS,NA,-24.3,Wood,生木,wood sample,水田畦際TRE上層,宮田館遺跡,Miyatadateiseki,青森市大字宮田字玉水,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2007,青森県埋蔵文化財調査報告書第429集　宮田館遺跡Ⅵ,,
19,FALSE,TRUE,TRUE,,Beta-173934,1160,40,AMS,NA,-25.3,Charred Seed,炭化種子(米),carbonized seed rice (Oryza sativa),SI-744　覆土,朝日山(2)遺跡,Asahiyama(2)Iseki,青森市大字高田字朝日山,40.76765317,140.7126579,Aomori,Tohoku,Rekihaku 14C Database,2004,青森県埋蔵文化財調査報告書第369集　朝日山(2)遺跡Ⅸ,,
20,FALSE,TRUE,TRUE,,Beta-175421,1510,40,AMS,NA,-24.8,Charred Seed,炭化米,carbonized rice (Oryza sativa),第10次調査　SX10217 4b層,沼向遺跡,Numamukaiiseki,仙台市宮城野区中野字沼向,38.28105,141.00105,Miyagi,Tohoku,Rekihaku 14C Database,2010,仙台市文化財調査報告書第360集　沼向遺跡第4〜34次調査　第9分冊,,
21,FALSE,TRUE,TRUE,,Beta-175422,1530,40,AMS,NA,-26.1,Charred Seed,炭化米,carbonized rice (Oryza sativa),第10次調査　SX10217 4b層,沼向遺跡,Numamukaiiseki,仙台市宮城野区中野字沼向,38.28105,141.00105,Miyagi,Tohoku,Rekihaku 14C Database,2010,仙台市文化財調査報告書第360集　沼向遺跡第4〜34次調査　第9分冊,,
22,FALSE,TRUE,TRUE,,Beta-182501,2490,50,AMS,-26.8,"-26.8,-25.6",Charred Seed,"種実,コメ,焼米",seed/nuts rice (Oryza sativa) rice (Oryza sativa),"20次,SK215土坑,2層,707",唐古=鍵遺跡,Karako・Kagiiseki,磯城郡田原本町大字唐子および鍵,34.573,135.7973194,Nara,Kansai,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
23,FALSE,TRUE,TRUE,,Beta-185250,1880,40,AMS,NA,-25.6,Charred Seed,炭化米,carbonized rice (Oryza sativa),SI8A区,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
24,FALSE,TRUE,TRUE,,Beta-185251,1820,40,AMS,NA,-25.8,Charred Seed,炭化米,carbonized rice (Oryza sativa),SI8B区,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
25,FALSE,TRUE,TRUE,,Beta-185252,1910,40,AMS,NA,-24.8,Charred Seed,炭化米,carbonized rice (Oryza sativa),SI9A区,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
26,FALSE,TRUE,TRUE,,Beta-185253,1790,40,AMS,NA,-23.8,Charred Seed,炭化米,carbonized rice (Oryza sativa),SI9B区,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
27,FALSE,TRUE,TRUE,,Beta-185254,1950,40,AMS,NA,-25.7,Charred Seed,炭化米,carbonized rice (Oryza sativa),SI10(新)A区,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
28,FALSE,TRUE,TRUE,,Beta-185255,1900,40,AMS,NA,-26.5,Charred Seed,炭化米,carbonized rice (Oryza sativa),SI10(新)B区,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
29,FALSE,TRUE,TRUE,,Beta-185256,1820,40,AMS,NA,-25.7,Charred Seed,炭化米,carbonized rice (Oryza sativa),SI11B区,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
30,FALSE,TRUE,TRUE,,Beta-185257,1850,40,AMS,NA,-25.7,Charred Seed,炭化米,carbonized rice (Oryza sativa),SI11D区,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
31,FALSE,TRUE,TRUE,,Beta-187219,2320,40,AMS,-24.4,-24.4,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),"Ⅰ区,334土坑",中里遺跡,Nakazatoiseki,小田原市中里,35.28303889,139.1855889,Kanagawa,Kanto,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
32,TRUE,FALSE,,,Beta-188292,840,40,AMS,NA,-26.1,Other Charred Remains,炭化物,carbonized material,"試料名:№2　Ⅲb区,第2号水田(F-1グリッド)",賀来西遺跡,Kakunishiiseki,大分市大字賀来,33.21863889,131.5621611,Oita,Kyushu,Rekihaku 14C Database,2004,賀来西遺跡　第1次･第2次発掘調査報告書　-大分都市計画事業賀来西土地区画整理事業に伴う発掘調査報告書-,,
33,FALSE,TRUE,TRUE,,Beta-188823,1490,40,AMS,NA,-25.7,Charred Seed,炭化米,carbonized rice (Oryza sativa),第10次調査　SX10217 4b層,沼向遺跡,Numamukaiiseki,仙台市宮城野区中野字沼向,38.28105,141.00105,Miyagi,Tohoku,Rekihaku 14C Database,2010,仙台市文化財調査報告書第360集　沼向遺跡第4〜34次調査　第9分冊,,
34,FALSE,TRUE,TRUE,,Beta-188824,1490,40,AMS,NA,-24.3,Charred Seed,炭化米,carbonized rice (Oryza sativa),第10次調査　SX10217 4b層,沼向遺跡,Numamukaiiseki,仙台市宮城野区中野字沼向,38.28105,141.00105,Miyagi,Tohoku,Rekihaku 14C Database,2010,仙台市文化財調査報告書第360集　沼向遺跡第4〜34次調査　第9分冊,,
35,FALSE,TRUE,TRUE,,Beta-195074,2220,40,AMS,NA,-24.9,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料名:№1　SB1013　S.T-14.15　炭化米№2,大谷尻遺跡,Otanijiriiseki,三好市大字勢力字北原820-2他,34.0566,133.9768,Tokushima,Shikoku,Rekihaku 14C Database,2005,徳島県埋蔵文化財センター調査報告書　第53集　四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告28　大谷尻遺跡　,"Rekihaku co-ordinates - 35.08378889, 137.0606111 are in Nagoya",
36,FALSE,TRUE,TRUE,,Beta-195079,2040,40,AMS,NA,-26.7,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料名:№6　SX1006　P-13　炭化米,大谷尻遺跡,Otanijiriiseki,三好市大字勢力字北原820-2他,34.0566,133.9768,Tokushima,Shikoku,Rekihaku 14C Database,2005,徳島県埋蔵文化財センター調査報告書　第53集　四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告28　大谷尻遺跡　,"Rekihaku co-ordinates - 35.08378889, 137.0606111 are in Nagoya",
37,FALSE,TRUE,TRUE,,Beta-200251,1820,40,AMS,NA,-24.2,Charred Seed,炭化種実(炭化米),carbonized seed/nuts rice (Oryza sativa),"試料名:№8　SA10,№62,炭化米",湯牟田遺跡(二次調査),Yumutaiseki（2jichosa）,児湯郡川南町大字川南字湯牟田,32.169999,131.502222,Miyazaki,Kyushu,Rekihaku 14C Database,2007,宮崎県埋蔵文化財センター発掘調査報告書　第152集　湯牟田遺跡(二次調査)　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書47,Updated Site Coordinates from Nabunken Database,
38,TRUE,FALSE,,,Beta-201272,2440,40,AMS,-29.6,-29.6,Wood,"木材,",material wood,"水田,杭,No94 a",牟礼遺跡,Mureiseki,茨木市,34.8164,135.56885,Osaka,Kansai,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
39,TRUE,FALSE,,,Beta-201273,2520,40,AMS,-28,-28,Wood,"木材,",material wood,水田,牟礼遺跡,Mureiseki,茨木市,34.8164,135.56885,Osaka,Kansai,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
40,TRUE,FALSE,,,Beta-201274,2420,40,AMS,-26.4,-26.4,Wood,"木材,スギ,",material wood Japanese cedar (Cryptomeria japonica),水田,牟礼遺跡,Mureiseki,茨木市,34.8164,135.56885,Osaka,Kansai,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
41,FALSE,TRUE,TRUE,,Beta-201569,430,40,AMS,NA,-24.2,Charred Seed,炭化米,carbonized rice (Oryza sativa),RA105,本宮熊堂B遺跡,Motomiyakumadobiseki,盛岡市本宮字熊堂,39.68851111,141.1420694,Iwate,Tohoku,Rekihaku 14C Database,2006,岩手県文化振興事業団埋蔵文化財調査報告書第470集　本宮熊堂A遺跡第24次･本宮熊堂B遺跡第25次発掘調査報告書,,
42,FALSE,TRUE,TRUE,,Beta-205808,1450,40,AMS,NA,-23.1,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料名:№3　SB30-3A,大江遺跡群,Oeisekigun,熊本市中央区大江,32.80161111,130.722325,Kumamoto,Kyushu,Rekihaku 14C Database,2006,熊本県文化財調査報告　第231集　大江遺跡群Ⅱ　-国家公務員合同宿舎(学苑住宅)新築工事に伴う大江遺跡群の埋蔵文化財発掘調査報告-,,
43,FALSE,TRUE,TRUE,,Beta-205809,1490,40,AMS,NA,-23.3,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料名:№4　SB30-3B,大江遺跡群,Oeisekigun,熊本市中央区大江,32.80161111,130.722325,Kumamoto,Kyushu,Rekihaku 14C Database,2006,熊本県文化財調査報告　第231集　大江遺跡群Ⅱ　-国家公務員合同宿舎(学苑住宅)新築工事に伴う大江遺跡群の埋蔵文化財発掘調査報告-,,
44,TRUE,FALSE,,,Beta-206208,580,50,AMS,NA,-25.9,Charred Remain,炭化材,carbonized material,水田畦畔,本郷坪遺跡,Hongotsuboiseki,静岡市葵区長沼,34.98781944,138.4139889,Shizuoka,Chubu,Rekihaku 14C Database,2005,静岡県埋蔵文化財調査研究所調査報告第164集　本郷坪遺跡,,
45,TRUE,FALSE,,,Beta-206209,420,50,AMS,NA,-26,Charred Remain,炭化材,carbonized material,水田畦畔,本郷坪遺跡,Hongotsuboiseki,静岡市葵区長沼,34.98781944,138.4139889,Shizuoka,Chubu,Rekihaku 14C Database,2005,静岡県埋蔵文化財調査研究所調査報告第164集　本郷坪遺跡,,
46,TRUE,FALSE,,,Beta-206210,580,50,AMS,NA,-25.5,Other Charred Remains,炭化物,carbonized material,水田畦畔　おにぎり状塊,本郷坪遺跡,Hongotsuboiseki,静岡市葵区長沼,34.98781944,138.4139889,Shizuoka,Chubu,Rekihaku 14C Database,2005,静岡県埋蔵文化財調査研究所調査報告第164集　本郷坪遺跡,,
47,FALSE,TRUE,TRUE,,Beta-208541,1780,40,AMS,NA,-23.5,Charred Seed,炭化米,carbonized rice (Oryza sativa),"試料名:№1　1号周溝状遺構,ｂ",市納上第1遺跡,Ichinawakamidai1iseki,児湯郡川南町大字川南字市納上,32.217777,131.496388,Miyazaki,Kyushu,Rekihaku 14C Database,2006,宮崎県埋蔵文化財センター発掘調査報告書　第121集　　市納上第1遺跡･市納上第4遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書26,Updated Coordinate based on Nabunken Database,
48,FALSE,TRUE,TRUE,,Beta-208542,1770,40,AMS,NA,-24.6,Charred Seed,炭化米,carbonized rice (Oryza sativa),"試料名:№2　1号周溝状遺構,ｃ",市納上第1遺跡,Ichinawakamidai1iseki,児湯郡川南町大字川南字市納上,32.217777,131.496388,Miyazaki,Kyushu,Rekihaku 14C Database,2006,宮崎県埋蔵文化財センター発掘調査報告書　第121集　　市納上第1遺跡･市納上第4遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書26,Updated Coordinate based on Nabunken Database,
49,TRUE,FALSE,,,Beta-209338,1340,40,AMS,NA,-26.5,Charred Remain,炭化材,carbonized material,SKR-1　テフラに覆われた水田上面,敷領遺跡,Shikiryoiseki,指宿市十町小字敷領,31.2459,130.62975,Kagoshima,Kyushu,Rekihaku 14C Database,2006,鹿児島県指宿市　敷領遺跡の調査　文部科学省科学研究費補助金特定領域研究「わが国の火山噴火罹災地における生活･文化環境の復元」による発掘調査報告書,,
50,TRUE,FALSE,,,Beta-209339,1310,40,AMS,NA,-23.9,Charred Remain,炭化材,carbonized material,SKR-2　テフラに覆われた水田上面,敷領遺跡,Shikiryoiseki,指宿市十町小字敷領,31.2459,130.62975,Kagoshima,Kyushu,Rekihaku 14C Database,2006,鹿児島県指宿市　敷領遺跡の調査　文部科学省科学研究費補助金特定領域研究「わが国の火山噴火罹災地における生活･文化環境の復元」による発掘調査報告書,,
51,FALSE,TRUE,TRUE,,Beta-211776,2190,40,AMS,NA,-23.5,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),"試料名:№28　E地点,SA1住居跡",平田遺跡E地点,Hirataisekiechiten,都城市南横市町字和田,31.74141111,131.036,Miyazaki,Kyushu,Rekihaku 14C Database,2007,宮崎県埋蔵文化財センター発掘調査報告書　第160集　平田遺跡　D地点･E地点　一般国道10号都城道路建設に伴う埋蔵文化財発掘調査報告書1,,
52,FALSE,TRUE,TRUE,,Beta-215715,2100,40,AMS,-25.2,-25.2,Charred Seed,"種実,コメ,焼米",seed/nuts rice (Oryza sativa) rice (Oryza sativa),"22次,SK102土坑,2層,№355",唐古=鍵遺跡,Karako・Kagiiseki,磯城郡田原本町大字唐子および鍵,34.573,135.7973194,Nara,Kansai,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
53,FALSE,TRUE,TRUE,,Beta-218283,1950,40,AMS,NA,-22.7,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),"試料名:№1　A区,SA3-1",国光原遺跡,Kokkobaruiseki,児湯郡川南町大字川南字湯牟田,32.172777,131.500555,Miyazaki,Kyushu,Rekihaku 14C Database,2007,宮崎県埋蔵文化財センター発掘調査報告書　第149集　国光原遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書44,Updated coordinate based on Nabunken Database,
54,FALSE,TRUE,TRUE,,Beta-218286,2060,40,AMS,NA,-24.3,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),"試料名:№4　A区,SL1-1",国光原遺跡,Kokkobaruiseki,児湯郡川南町大字川南字湯牟田,32.172777,131.500555,Miyazaki,Kyushu,Rekihaku 14C Database,2007,宮崎県埋蔵文化財センター発掘調査報告書　第149集　国光原遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書44,Updated coordinate based on Nabunken Database,
55,FALSE,TRUE,TRUE,,Beta-225348,1210,40,AMS,NA,-25.9,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料名:24,宮ノ東遺跡,Miyanohigashiiseki,西都市大字岡富字宮ノ東他,32.08108889,131.4152694,Miyazaki,Kyushu,Rekihaku 14C Database,2008,宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60　,,
56,FALSE,TRUE,TRUE,,Beta-225386,710,40,AMS,NA,-25.3,Charred Seed,炭化米,carbonized rice (Oryza sativa),11B5地点　Ⅲ層,姫御前遺跡,Himegozeiseki,糸魚川市東寺町,37.04406111,137.8718611,Niigata,Chubu,Rekihaku 14C Database,2008,新潟県埋蔵文化財調査報告書第184集　北陸新幹線関係発掘調査報告書Ⅷ　姫御前遺跡Ⅰ,,
57,FALSE,TRUE,FALSE,Needs Checking; Date on Husk/Phytholith?,Beta-229774,3720,70,AMS,NA,-24.2,Seed,種子(籾),seed rice (Oryza sativa) husk,溝内土器片直下,日高遺跡,Hidakaiseki,高崎市日高町,36.36161944,139.0299194,Gunma,Kanto,Rekihaku 14C Database,2010,高崎市文化財調査報告第257集　史跡 日高遺跡(本編),,
58,FALSE,TRUE,TRUE,,Beta-239326,210,40,AMS,NA,-26.8,Charred Seed,イネ,rice (Oryza sativa),"2DB13　2層, T71-4",T71遺跡　第2次,T71iseki　Dai2ji,札幌市豊平区平岸1条19丁目163,43.0193,141.3617111,Hokkaido,Hokkaido,Rekihaku 14C Database,2008,札幌市文化財調査報告書87　T71遺跡　第2次調査,,
59,TRUE,FALSE,,,Beta-284770,560,40,AMS,NA,-25.6,Wood,植物遺体(草本),plant plant remains herbaceous plants,西地区北壁　水田耕作層Ⅲb層,上道下西遺跡,Kamimichishitanishiiseki,三条市福島新田丙,37.60595,138.9181111,Niigata,Chubu,Rekihaku 14C Database,2012,新潟県埋蔵文化財調査報告書第231集　北陸自動車道栄スマートインターチェンジ関係発掘調査報告書　上道下西遺跡,,
60,TRUE,FALSE,,,Beta-284771,600,40,AMS,NA,-26.2,Wood,植物遺体(草本),plant plant remains herbaceous plants,西地区北壁　水田耕作層Ⅲb層,上道下西遺跡,Kamimichishitanishiiseki,三条市福島新田丙,37.60595,138.9181111,Niigata,Chubu,Rekihaku 14C Database,2012,新潟県埋蔵文化財調査報告書第231集　北陸自動車道栄スマートインターチェンジ関係発掘調査報告書　上道下西遺跡,,
61,FALSE,TRUE,TRUE,,Beta-331065,40,30,AMS,NA,NA,Seed,イネモミ,rice (Oryza sativa) fir (Abies sp.),不明,石郷(3)遺跡,Ishigo(3)Iseki,平川市石郷村元,40.57213889,140.54985,Aomori,Tohoku,Rekihaku 14C Database,2014,亀ヶ岡文化の低湿地遺跡　冷温帯地域の遺跡資源の保存活用促進プロジェクト調査成果報告書1,,
62,FALSE,TRUE,TRUE,,Beta-340384,50,30,AMS,NA,-24.6,Charred Seed,炭化種実(イネ果実),carbonized seed/nuts fruit /achenes etc rice (Oryza sativa),"試料名:№1
土坑7号　",永吉天神段遺跡(第2地点),Nagayoshitenjindaniseki（Dai２chiten）,曽於郡大崎町永吉字天神,31.42563056,130.9788806,Kagoshima,Kyushu,Rekihaku 14C Database,2016,公益財団法人鹿児島県文化振興財団埋蔵文化財調査センター発掘調査報告書(8)　東九州自動車道建設(志布志IC〜鹿屋串良JCT)に伴う埋蔵文化財発掘調査報告書　　永吉天神段遺跡(第1地点),,
